Date,Price,Open,High,Low,Vol.,Change %
"Jul 14, 2020",48.65,47.5,48,47.5,0.01K,-0.31%
"Jul 13, 2020",48.8,48.95,48.95,48.95,0.02K,0.21%
"Jul 10, 2020",48.7,48.7,48.7,48.7,0.03K,-1.22%
"Jul 09, 2020",49.3,49.5,49.5,49,0.17K,-0.40%
"Jul 08, 2020",49.5,49.5,49.5,49.5,0.08K,-2.27%
"Jul 07, 2020",50.65,50.5,50.5,50.5,0.10K,-1.07%
"Jul 06, 2020",51.2,51.2,51.2,51.2,0.06K,0.59%
"Jul 03, 2020",50.9,50.5,50.5,50.5,0.07K,-0.29%
"Jul 02, 2020",51.05,51.1,51.1,50.65,0.08K,2.20%
"Jul 01, 2020",49.95,49.8,50,49.8,0.58K,0.20%
"Jun 30, 2020",49.85,49.5,49.6,49.1,0.30K,-0.40%
"Jun 29, 2020",50.05,49.9,50,49.9,0.21K,10.12%
"Jun 26, 2020",45.45,45.45,45.45,45.45,-,0.44%
"Jun 25, 2020",45.25,45.25,45.25,45.25,-,0.00%
"Jun 24, 2020",45.25,45.25,45.25,45.25,-,0.89%
"Jun 23, 2020",44.85,45.25,45.25,45.25,0.00K,-1.64%
"Jun 22, 2020",45.6,45.6,45.6,45.6,-,1.33%
"Jun 19, 2020",45,45,45,45,-,0.67%
"Jun 18, 2020",44.7,44.7,44.7,44.7,0.00K,0.22%
"Jun 17, 2020",44.6,44.6,44.6,44.6,0.05K,-0.45%
"Jun 16, 2020",44.8,44.8,44.8,44.8,0.01K,-0.44%
"Jun 15, 2020",45,44.8,44.8,44.8,0.05K,1.12%
"Jun 12, 2020",44.5,44.5,44.5,44.5,0.04K,0.34%
"Jun 11, 2020",44.35,44.4,44.4,44.4,0.07K,-1.33%
"Jun 10, 2020",44.95,44.5,44.5,44.5,0.07K,-1.43%
"Jun 09, 2020",45.6,45.6,45.6,45.3,0.13K,-0.76%
"Jun 08, 2020",45.95,46.25,46.25,46.25,0.05K,-0.54%
"Jun 05, 2020",46.2,46.2,46.2,46.2,0.03K,1.09%
"Jun 04, 2020",45.7,45.7,45.7,45.7,0.01K,-1.93%
"Jun 03, 2020",46.6,46.3,46.3,46.3,0.08K,-0.32%
"Jun 02, 2020",46.75,46,47,46,0.28K,4.24%
"Jun 01, 2020",44.85,42,44.5,42,0.05K,16.49%
"May 29, 2020",38.5,38.5,38.5,38.5,-,-0.77%
"May 28, 2020",38.8,38.8,38.8,38.8,-,0.26%
"May 27, 2020",38.7,38.7,38.7,38.7,-,0.26%
"May 26, 2020",38.6,38.6,38.6,38.6,-,-0.39%
"May 25, 2020",38.75,38.75,38.75,38.75,-,0.26%
"May 22, 2020",38.65,38.65,38.65,38.55,0.02K,-0.26%
"May 21, 2020",38.75,38.75,38.75,38.75,-,-0.13%
"May 20, 2020",38.8,38.85,38.85,38.65,0.02K,-0.13%
"May 19, 2020",38.85,38.85,38.85,38.85,-,0.00%
"May 18, 2020",38.85,38.75,38.95,38.75,0.02K,0.26%
"May 15, 2020",38.75,38.75,38.75,38.55,0.01K,-0.90%
"May 14, 2020",39.1,39.1,39.1,39.1,-,-0.64%
"May 13, 2020",39.35,39.35,39.35,39.35,-,-0.88%
"May 12, 2020",39.7,39.7,39.7,39.7,0.01K,-0.50%
"May 11, 2020",39.9,39.9,39.9,39.9,-,-0.25%
"May 08, 2020",40,40,40,40,-,-0.50%
"May 07, 2020",40.2,40.2,40.2,40.2,0.04K,0.50%
"May 06, 2020",40,40.15,40.15,40.15,0.01K,1.01%
"May 05, 2020",39.6,39.6,39.6,39.6,0.07K,1.54%
"May 04, 2020",39,39,39,39,0.00K,-1.27%
"May 01, 2020",39.5,39.5,39.5,39.5,-,-0.88%
"Apr 30, 2020",39.85,39.85,39.85,39.85,0.02K,2.18%
"Apr 29, 2020",39,39,39,39,0.02K,1.43%
"Apr 28, 2020",38.45,38.45,38.45,38.45,0.02K,-1.66%
"Apr 27, 2020",39.1,40,40,39.05,0.09K,-13.21%
"Apr 24, 2020",45.05,45.05,45.05,45.05,-,0.33%
"Apr 23, 2020",44.9,44.9,44.9,44.9,0.00K,-0.55%
"Apr 22, 2020",45.15,45.15,45.15,45.15,-,-0.66%
"Apr 21, 2020",45.45,45.45,45.45,45.45,-,-0.22%
"Apr 20, 2020",45.55,45.55,45.55,45.55,0.02K,0.33%
"Apr 17, 2020",45.4,45.75,45.75,45.6,0.01K,-0.22%
"Apr 16, 2020",45.5,45.5,45.5,45.5,0.03K,0.44%
"Apr 15, 2020",45.3,45.3,45.3,45.3,0.03K,-0.98%
"Apr 14, 2020",45.75,45.75,45.75,45.75,0.04K,-2.03%
"Apr 13, 2020",46.7,46.7,46.7,46.7,-,-0.21%
"Apr 09, 2020",46.8,46.85,46.85,46.85,0.02K,0.43%
"Apr 08, 2020",46.6,46.6,46.6,46.6,0.02K,-0.96%
"Apr 07, 2020",47.05,46.5,46.5,46.5,0.06K,1.62%
"Apr 06, 2020",46.3,46.1,46.1,46.1,0.08K,0.43%
"Apr 03, 2020",46.1,46.95,46.95,46.9,0.12K,-2.85%
"Apr 02, 2020",47.45,47.85,47.85,47.4,0.05K,-1.35%
"Apr 01, 2020",48.1,48.1,48.1,48,0.52K,-2.43%
"Mar 31, 2020",49.3,51,51,49.9,0.14K,-2.86%
"Mar 30, 2020",50.75,51.8,51.8,50.75,0.22K,5.51%
"Mar 27, 2020",48.1,48.1,48.1,48.1,-,0.31%
"Mar 26, 2020",47.95,47.95,47.95,47.95,-,-0.62%
"Mar 25, 2020",48.25,47.9,47.9,47.9,0.01K,1.26%
"Mar 24, 2020",47.65,47.7,47.85,47.7,0.01K,0.53%
"Mar 23, 2020",47.4,47.4,47.4,47.4,0.00K,-0.21%
"Mar 20, 2020",47.5,47.4,47.45,47.4,0.15K,1.28%
"Mar 19, 2020",46.9,46.5,46.5,46.5,0.00K,-1.88%
"Mar 18, 2020",47.8,47.8,47.8,47.8,-,1.49%
"Mar 17, 2020",47.1,47.1,47.1,47.1,0.02K,1.29%
