"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 08, 2017","83.10","83.75","83.75","83.70","0.10K","-1.19%"
"Feb 07, 2017","84.10","84.10","84.10","84.10","0.02K","-0.24%"
"Feb 06, 2017","84.30","84.15","84.30","84.15","0.38K","-0.30%"
"Feb 03, 2017","84.55","84.55","84.55","84.55","0.05K","-0.65%"
"Feb 02, 2017","85.10","85.25","85.30","85.25","0.12K","0.53%"
"Feb 01, 2017","84.65","85.70","85.70","85.50","0.20K","-0.76%"
"Jan 31, 2017","85.30","83.75","83.75","83.75","0.23K","3.65%"
"Jan 30, 2017","82.30","82.00","82.50","82.00","0.17K","-7.01%"
"Jan 27, 2017","88.50","88.60","88.60","88.50","0.05K","0.00%"
"Jan 26, 2017","88.50","88.50","88.50","88.50","0.01K","-0.39%"
"Jan 25, 2017","88.85","88.85","88.85","88.85","0.01K","-0.39%"
"Jan 24, 2017","89.20","89.20","89.20","89.20","0.01K","-0.11%"
"Jan 23, 2017","89.30","90.00","90.00","89.60","0.01K","0.11%"
"Jan 20, 2017","89.20","89.20","89.20","89.20","-","0.73%"
"Jan 19, 2017","88.55","88.55","88.55","88.55","0.01K","-1.56%"
"Jan 18, 2017","89.95","89.95","89.95","89.95","0.01K","0.17%"
"Jan 17, 2017","89.80","89.80","89.80","89.80","-","1.99%"
"Jan 16, 2017","88.05","88.05","88.05","88.05","0.01K","-0.17%"
"Jan 13, 2017","88.20","88.20","88.20","88.20","0.02K","-0.45%"
"Jan 12, 2017","88.60","88.60","88.60","88.50","0.19K","-0.11%"
"Jan 11, 2017","88.70","88.75","88.75","88.75","0.02K","2.66%"
"Jan 10, 2017","86.40","86.40","86.40","86.40","0.02K","2.80%"
"Jan 09, 2017","84.05","84.05","84.05","84.05","0.05K","-0.83%"
"Jan 06, 2017","84.75","84.75","84.75","84.75","0.05K","-1.17%"
"Jan 05, 2017","85.75","85.75","85.75","85.75","0.08K","1.84%"
"Jan 04, 2017","84.20","83.25","83.75","83.25","0.10K","2.06%"
"Jan 03, 2017","82.50","84.00","84.00","82.50","0.08K","-8.54%"
"Dec 30, 2016","90.20","90.20","90.20","90.20","-","-0.44%"
"Dec 29, 2016","90.60","90.60","90.60","90.60","-","0.00%"
"Dec 28, 2016","90.60","90.60","90.60","90.60","-","0.61%"
"Dec 27, 2016","90.05","90.05","90.05","90.05","-","0.00%"
"Dec 23, 2016","90.05","90.05","90.05","90.05","-","0.06%"
"Dec 22, 2016","90.00","90.00","90.00","90.00","-","-0.28%"
"Dec 21, 2016","90.25","90.25","90.25","90.25","-","0.28%"
"Dec 20, 2016","90.00","90.00","90.00","90.00","0.01K","1.07%"
"Dec 19, 2016","89.05","89.00","89.00","89.00","0.01K","-0.39%"
"Dec 16, 2016","89.40","89.40","89.40","89.40","-","-0.78%"
"Dec 15, 2016","90.10","90.10","90.10","90.10","0.01K","1.35%"
"Dec 14, 2016","88.90","88.90","88.90","88.90","0.08K","1.54%"
"Dec 13, 2016","87.55","87.55","87.55","87.55","-","1.21%"
