date,destination_region,commodity_group,Pricecap: 2021H1 - EU imports + EU/GB/NO ships,Pricecap: 2021H1 - EU imports only,Pricecap: SRMC - EU imports + EU/GB/NO ships,Pricecap: SRMC - EU imports only,Without price cap,unit
2021-12-15,Turkey,gas,22227661.98400812,22227661.98400812,22227661.98400812,22227661.98400812,22227661.98400812,EUR
2021-12-16,EU,coal,12959786.392837262,12959786.392837262,12959786.392837262,12959786.392837262,12959786.392837262,EUR
2021-12-16,EU,gas,246797208.68199334,246797208.68199334,246797208.68199334,246797208.68199334,246797208.68199334,EUR
2021-12-16,EU,oil,106123880.63021146,106123880.63021146,106123880.63021146,106123880.63021146,106123880.63021146,EUR
2021-12-16,Others,gas,43908188.021491654,43908188.021491654,43908188.021491654,43908188.021491654,43908188.021491654,EUR
2021-12-16,Others,oil,27607689.85924781,27607689.85924781,27607689.85924781,27607689.85924781,27607689.85924781,EUR
2021-12-16,Turkey,coal,5746638.789428333,5746638.789428333,5746638.789428333,5746638.789428333,5746638.789428333,EUR
2021-12-16,Turkey,gas,22437506.07304029,22437506.07304029,22437506.07304029,22437506.07304029,22437506.07304029,EUR
2021-12-16,Turkey,oil,30792863.090791762,30792863.090791762,30792863.090791762,30792863.090791762,30792863.090791762,EUR
2021-12-17,EU,coal,12174570.294177338,12174570.294177338,12174570.294177338,12174570.294177338,12174570.294177338,EUR
2021-12-17,EU,gas,248022314.78014973,248022314.78014973,248022314.78014973,248022314.78014973,248022314.78014973,EUR
2021-12-17,EU,oil,213978193.67774153,213978193.67774153,213978193.67774153,213978193.67774153,213978193.67774153,EUR
2021-12-17,Others,coal,21468528.414555706,21468528.414555706,21468528.414555706,21468528.414555706,21468528.414555706,EUR
2021-12-17,Others,oil,24874554.057645738,24874554.057645738,24874554.057645738,24874554.057645738,24874554.057645738,EUR
2021-12-17,Turkey,coal,6835984.03986246,6835984.03986246,6835984.03986246,6835984.03986246,6835984.03986246,EUR
2021-12-17,Turkey,gas,22619091.93960518,22619091.93960518,22619091.93960518,22619091.93960518,22619091.93960518,EUR
2021-12-17,Turkey,oil,6916812.106568589,6916812.106568589,6916812.106568589,6916812.106568589,6916812.106568589,EUR
2021-12-17,United Kingdom,oil,20957135.909897607,20957135.909897607,20957135.909897607,20957135.909897607,20957135.909897607,EUR
2021-12-18,China,oil,87597904.75559919,87597904.75559919,87597904.75559919,87597904.75559919,87597904.75559919,EUR
2021-12-18,EU,coal,20471043.2838491,20471043.2838491,20471043.2838491,20471043.2838491,20471043.2838491,EUR
2021-12-18,EU,gas,221457766.17952177,221457766.17952177,221457766.17952177,221457766.17952177,221457766.17952177,EUR
2021-12-18,EU,oil,252822544.70865262,252822544.70865262,252822544.70865262,252822544.70865262,252822544.70865262,EUR
2021-12-18,Others,coal,2632032.3454348044,2632032.3454348044,2632032.3454348044,2632032.3454348044,2632032.3454348044,EUR
2021-12-18,Others,gas,9421454.249927074,9421454.249927074,9421454.249927074,9421454.249927074,9421454.249927074,EUR
2021-12-18,Others,oil,8655350.851091327,8655350.851091327,8655350.851091327,8655350.851091327,8655350.851091327,EUR
2021-12-18,Turkey,coal,3585326.790234935,3585326.790234935,3585326.790234935,3585326.790234935,3585326.790234935,EUR
2021-12-18,Turkey,gas,22799625.72994768,22799625.72994768,22799625.72994768,22799625.72994768,22799625.72994768,EUR
2021-12-19,China,coal,17672200.943609346,17672200.943609346,17672200.943609346,17672200.943609346,17672200.943609346,EUR
2021-12-19,China,oil,106642878.8672268,106642878.8672268,106642878.8672268,106642878.8672268,106642878.8672268,EUR
2021-12-19,EU,coal,11205105.863383973,11205105.863383973,11205105.863383973,11205105.863383973,11205105.863383973,EUR
2021-12-19,EU,gas,239225043.6756775,239225043.6756775,239225043.6756775,239225043.6756775,239225043.6756775,EUR
2021-12-19,EU,oil,300259626.5492368,300259626.5492368,300259626.5492368,300259626.5492368,300259626.5492368,EUR
2021-12-19,Others,coal,11142058.02664862,11142058.02664862,11142058.02664862,11142058.02664862,11142058.02664862,EUR
2021-12-19,Others,gas,8151514.917290747,8151514.917290747,8151514.917290747,8151514.917290747,8151514.917290747,EUR
2021-12-19,Others,oil,19076354.73771491,19076354.73771491,19076354.73771491,19076354.73771491,19076354.73771491,EUR
2021-12-19,Turkey,gas,23018480.8778938,23018480.8778938,23018480.8778938,23018480.8778938,23018480.8778938,EUR
2021-12-20,EU,coal,12482976.418791229,12482976.418791229,12482976.418791229,12482976.418791229,12482976.418791229,EUR
2021-12-20,EU,gas,341519092.33878416,341519092.33878416,341519092.33878416,341519092.33878416,341519092.33878416,EUR
2021-12-20,EU,oil,253952077.77480835,253952077.77480835,253952077.77480835,253952077.77480835,253952077.77480835,EUR
2021-12-20,Others,gas,517332.6405744524,517332.6405744524,517332.6405744524,517332.6405744524,517332.6405744524,EUR
2021-12-20,Others,oil,55451845.74511902,55451845.74511902,55451845.74511902,55451845.74511902,55451845.74511902,EUR
2021-12-20,South Korea,coal,934726.1524569131,934726.1524569131,934726.1524569131,934726.1524569131,934726.1524569131,EUR
2021-12-20,Turkey,gas,23282813.54381511,23282813.54381511,23282813.54381511,23282813.54381511,23282813.54381511,EUR
2021-12-20,Turkey,oil,7196705.037151262,7196705.037151262,7196705.037151262,7196705.037151262,7196705.037151262,EUR
2021-12-20,United Kingdom,oil,353475.4207880295,353475.4207880295,353475.4207880295,353475.4207880295,353475.4207880295,EUR
2021-12-20,United States,oil,24360828.536529165,24360828.536529165,24360828.536529165,24360828.536529165,24360828.536529165,EUR
2021-12-21,EU,coal,9516041.618989855,9516041.618989855,9516041.618989855,9516041.618989855,9516041.618989855,EUR
2021-12-21,EU,gas,249487346.71460524,249487346.71460524,249487346.71460524,249487346.71460524,249487346.71460524,EUR
2021-12-21,EU,oil,364666898.51220626,364666898.51220626,364666898.51220626,364666898.51220626,364666898.51220626,EUR
2021-12-21,Others,coal,6389956.926730115,6389956.926730115,6389956.926730115,6389956.926730115,6389956.926730115,EUR
2021-12-21,Others,gas,924140.4585228964,924140.4585228964,924140.4585228964,924140.4585228964,924140.4585228964,EUR
2021-12-21,Others,oil,109033.60150135975,109033.60150135975,109033.60150135975,109033.60150135975,109033.60150135975,EUR
2021-12-21,South Korea,coal,9465809.314277356,9465809.314277356,9465809.314277356,9465809.314277356,9465809.314277356,EUR
2021-12-21,Turkey,gas,23691656.72668037,23691656.72668037,23691656.72668037,23691656.72668037,23691656.72668037,EUR
2021-12-21,Turkey,oil,43136417.317878135,43136417.317878135,43136417.317878135,43136417.317878135,43136417.317878135,EUR
2021-12-22,China,coal,5101372.715458406,5101372.715458406,5101372.715458406,5101372.715458406,5101372.715458406,EUR
2021-12-22,China,oil,116414724.71576996,116414724.71576996,116414724.71576996,116414724.71576996,116414724.71576996,EUR
2021-12-22,EU,coal,2481439.802932545,2481439.802932545,2481439.802932545,2481439.802932545,2481439.802932545,EUR
2021-12-22,EU,gas,255201092.599705,255201092.599705,255201092.599705,255201092.599705,255201092.599705,EUR
2021-12-22,EU,oil,274253892.5031192,274253892.5031192,274253892.5031192,274253892.5031192,274253892.5031192,EUR
2021-12-22,Others,coal,10210260.284167651,10210260.284167651,10210260.284167651,10210260.284167651,10210260.284167651,EUR
2021-12-22,Others,gas,47672337.695453435,47672337.695453435,47672337.695453435,47672337.695453435,47672337.695453435,EUR
2021-12-22,Others,oil,38587550.81762836,38587550.81762836,38587550.81762836,38587550.81762836,38587550.81762836,EUR
2021-12-22,South Korea,coal,3013126.649792759,3013126.649792759,3013126.649792759,3013126.649792759,3013126.649792759,EUR
2021-12-22,Turkey,coal,3271154.1598947397,3271154.1598947397,3271154.1598947397,3271154.1598947397,3271154.1598947397,EUR
2021-12-22,Turkey,gas,24078038.52366774,24078038.52366774,24078038.52366774,24078038.52366774,24078038.52366774,EUR
2021-12-22,Turkey,oil,73369050.63289294,73369050.63289294,73369050.63289294,73369050.63289294,73369050.63289294,EUR
2021-12-23,China,coal,6507045.735932189,6507045.735932189,6507045.735932189,6507045.735932189,6507045.735932189,EUR
2021-12-23,EU,coal,11847318.936521199,11847318.936521199,11847318.936521199,11847318.936521199,11847318.936521199,EUR
2021-12-23,EU,gas,244026965.88970378,244026965.88970378,244026965.88970378,244026965.88970378,244026965.88970378,EUR
2021-12-23,EU,oil,143625852.61589232,143625852.61589232,143625852.61589232,143625852.61589232,143625852.61589232,EUR
2021-12-23,Others,coal,14877390.367332347,14877390.367332347,14877390.367332347,14877390.367332347,14877390.367332347,EUR
2021-12-23,Others,gas,45510379.3794563,45510379.3794563,45510379.3794563,45510379.3794563,45510379.3794563,EUR
2021-12-23,Others,oil,11745746.982228344,11745746.982228344,11745746.982228344,11745746.982228344,11745746.982228344,EUR
2021-12-23,Turkey,gas,24254807.564186662,24254807.564186662,24254807.564186662,24254807.564186662,24254807.564186662,EUR
2021-12-23,Turkey,oil,21830491.005441666,21830491.005441666,21830491.005441666,21830491.005441666,21830491.005441666,EUR
2021-12-23,United Kingdom,oil,27340870.846276056,27340870.846276056,27340870.846276056,27340870.846276056,27340870.846276056,EUR
